"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PBX1",1.25183609039151,4.88361691408264,5.0270070540988,1.75538476355521e-06,1.32605954925864e-05,4.30497494318292
"CELP",1.28187149554523,3.81899652905785,5.02590151201007,1.76376064002083e-06,1.33186380720102e-05,4.30037511766199
"TVP23B",1.22618534486251,6.10022290643802,5.02472835797226,1.77269128189465e-06,1.33766156624948e-05,4.29549469935443
"LINC01613",1.37001956605538,6.89395887438017,5.02397552337418,1.77844539657265e-06,1.34105584194241e-05,4.29236323549166
"LSR",1.06665844456387,5.68412762895868,5.02313923975758,1.78485863822161e-06,1.34494199785542e-05,4.28888501819866
"TSPAN33",1.7301483283263,9.55493086709917,5.02275746572677,1.78779383852063e-06,1.34667856866343e-05,4.28729729341766
"OR52A1",1.38019483403671,7.61572961272727,5.02185556045479,1.79474663594493e-06,1.35096279205513e-05,4.28354675491635
"ADORA2B",1.21050698893152,4.9545305061405,5.01153921965859,1.87617053714038e-06,1.40679851898289e-05,4.24067787419125
"NSG2",1.0396399835633,7.42339772861157,5.0054230601875,1.92612844675679e-06,1.4422325729485e-05,4.2152897296043
"CCR6",1.37776858615212,5.26845884264463,4.99938003032766,1.97675868055874e-06,1.47691724184291e-05,4.19022503653409
"GAPDHS",2.23595268658878,5.07140178647934,4.98955188619799,2.06187818367867e-06,1.53473017122544e-05,4.14950311513359
"MEIOB",1.36866200495302,5.42166331882645,4.98832763786911,2.07272759134696e-06,1.54119421007013e-05,4.14443424054444
"LOC105377844",1.1451339975435,7.84547355908264,4.9716417213204,2.22625038707692e-06,1.64503726699057e-05,4.07542925647982
"TOMM6",1.20405502588797,5.46892640700826,4.96688960527143,2.27195926289691e-06,1.67533460149045e-05,4.05580455350959
"LOC100506851",1.04106430472959,6.97791907089256,4.96091497558172,2.33072298713451e-06,1.71511334907848e-05,4.03114877928866
"NRDE2",1.00735998986214,5.4135318645978,4.95680506161415,2.37200114795265e-06,1.7430861842577e-05,4.01419955234072
"SPACA4",1.1342363348925,5.56215560535537,4.92550693368583,2.71051795663419e-06,1.96881329809262e-05,3.88543076147455
"RNF183",1.57512145334781,6.35180597533058,4.92390133282115,2.7290946421937e-06,1.98095907831565e-05,3.87883944140737
"BPI",1.19506879308366,6.62070626460331,4.9095686662525,2.90049599885365e-06,2.09478071684011e-05,3.82006405442933
"PTH2R",1.10048784330256,6.34143509255372,4.89933344292642,3.02925003378083e-06,2.17558944709335e-05,3.77816111004417
"CYP20A1",3.03819925035515,8.44734686775207,4.8977230103125,3.05000744577188e-06,2.18860581332186e-05,3.77157330343202
"SLC27A2",1.15706109162835,6.24478962482231,4.8897455723275,3.15488523436402e-06,2.25552642048355e-05,3.73896121272496
